123	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
124	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
125	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
126	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
127	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
128	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
129	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
130	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
131	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
132	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
133	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
134	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
135	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
136	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
137	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
138	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
139	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
140	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
141	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
142	;47.0002	;75.0003	;0.990001	;4.99089	;2.47839e+19
143	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
144	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
145	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
146	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
147	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
148	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
149	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19
150	;47.0002	;75.0003	;0.990001	;4.99881	;2.4779e+19

1	;49.1965	;79.0764	;0.999343	;3.46788	;2.90435e+19
2	;47.2411	;79.1615	;1.02263	;4.08868	;2.86321e+19
3	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
4	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
5	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
6	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
7	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
8	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
9	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
10	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
11	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
12	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
13	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
14	;47.0356	;75.1907	;1.01164	;4.09158	;2.65537e+19
15	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
16	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
17	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
18	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
19	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
20	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
21	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
22	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
23	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
24	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
25	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
26	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
27	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
28	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
29	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
30	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
31	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
32	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
33	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
34	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
35	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
36	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
37	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
38	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
39	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
40	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
41	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
42	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
43	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
44	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
45	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
46	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
47	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
48	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
49	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
50	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
51	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
52	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
53	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
54	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
55	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
56	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
57	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
58	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
59	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
60	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
61	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
62	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
63	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
64	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
65	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
66	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
67	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
68	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
69	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
70	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
71	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
72	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
73	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
74	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
75	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
76	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
77	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
78	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
79	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
80	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
81	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
82	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
83	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
84	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
85	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
86	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
87	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
88	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
89	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
90	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
91	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
92	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
93	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
94	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
95	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
96	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
97	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
98	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
99	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
100	;47.4491	;75.0512	;0.991466	;4.09459	;2.57217e+19
