129	;0.999981	;1.59736e-05	;0.312511
130	;0.999981	;1.59736e-05	;0.312511
131	;0.999981	;1.59736e-05	;0.312511
132	;0.999981	;1.59736e-05	;0.312511
133	;0.999981	;1.59736e-05	;0.312511
134	;0.999981	;1.59736e-05	;0.312511
135	;0.999981	;1.59736e-05	;0.312511
136	;0.999981	;1.59736e-05	;0.312511
137	;0.999981	;1.59736e-05	;0.312511
138	;0.99999	;2.46187e-06	;0.312509
139	;0.99999	;2.46187e-06	;0.312509
140	;0.99999	;2.46187e-06	;0.312509
141	;0.99999	;2.46187e-06	;0.312509
142	;0.99999	;2.46187e-06	;0.312509
143	;0.99999	;2.46187e-06	;0.312509
144	;0.99999	;2.46187e-06	;0.312509
145	;0.99999	;2.46187e-06	;0.312509
146	;0.99999	;2.46187e-06	;0.312509
147	;0.99999	;2.46187e-06	;0.312509
148	;0.99999	;2.46187e-06	;0.312509
149	;0.99999	;2.46187e-06	;0.312509
150	;0.99999	;2.46187e-06	;0.312509

1	;-0.142324	;-0.0618099	;2.79685
2	;0.573114	;-0.350458	;1.38225
3	;0.764747	;-0.157576	;0.727572
4	;0.895755	;0.0624249	;0.401774
5	;0.961939	;0.0159315	;0.344417
6	;0.979732	;0.0131143	;0.326875
7	;0.983405	;0.0128409	;0.323193
8	;0.989512	;0.00996485	;0.318263
9	;0.995538	;0.000181396	;0.316891
10	;0.995623	;0.000622024	;0.316585
11	;0.998118	;0.00183187	;0.313475
12	;0.998118	;0.00183187	;0.313475
13	;0.998118	;0.00183187	;0.313475
14	;0.999885	;-2.92239e-05	;0.312629
15	;0.999885	;-2.92239e-05	;0.312629
16	;0.999885	;-2.92239e-05	;0.312629
17	;0.999885	;-2.92239e-05	;0.312629
18	;0.999885	;-2.92239e-05	;0.312629
19	;0.999885	;-2.92239e-05	;0.312629
20	;0.999885	;-2.92239e-05	;0.312629
21	;0.999885	;-2.92239e-05	;0.312629
22	;0.999885	;-2.92239e-05	;0.312629
23	;0.999885	;-2.92239e-05	;0.312629
24	;0.999885	;-2.92239e-05	;0.312629
25	;0.999885	;-2.92239e-05	;0.312629
26	;0.999885	;-2.92239e-05	;0.312629
27	;0.999885	;-2.92239e-05	;0.312629
28	;0.999885	;-2.92239e-05	;0.312629
29	;0.999885	;-2.92239e-05	;0.312629
30	;0.999885	;-2.92239e-05	;0.312629
31	;0.999809	;0.000175636	;0.312603
32	;0.999809	;0.000175636	;0.312603
33	;0.999809	;0.000175636	;0.312603
34	;0.999809	;0.000175636	;0.312603
35	;0.999809	;0.000175636	;0.312603
36	;0.999809	;0.000175636	;0.312603
37	;0.999809	;0.000175636	;0.312603
38	;0.999809	;0.000175636	;0.312603
39	;0.999809	;0.000175636	;0.312603
40	;0.999809	;0.000175636	;0.312603
41	;0.999809	;0.000175636	;0.312603
42	;0.999809	;0.000175636	;0.312603
43	;0.999809	;0.000175636	;0.312603
44	;0.999809	;0.000175636	;0.312603
45	;0.999809	;0.000175636	;0.312603
46	;0.999809	;0.000175636	;0.312603
47	;0.999806	;0.000184964	;0.312602
48	;0.999806	;0.000184964	;0.312602
49	;0.999806	;0.000184964	;0.312602
50	;0.999806	;0.000184964	;0.312602
51	;0.999813	;0.00018608	;0.312594
52	;0.999813	;0.00018608	;0.312594
53	;0.999813	;0.00018608	;0.312594
54	;0.999813	;0.00018608	;0.312594
55	;0.999813	;0.00018608	;0.312594
56	;0.999813	;0.00018608	;0.312594
57	;0.999813	;0.00018608	;0.312594
58	;0.999813	;0.00018608	;0.312594
59	;0.999813	;0.00018608	;0.312594
60	;0.999813	;0.00018608	;0.312594
61	;0.999813	;0.00018608	;0.312594
62	;0.999813	;0.00018608	;0.312594
63	;0.999813	;0.00018608	;0.312594
64	;0.999813	;0.00018608	;0.312594
65	;0.999813	;0.00018608	;0.312594
66	;0.999813	;0.00018608	;0.312594
67	;0.999813	;0.00018608	;0.312594
68	;0.999813	;0.00018608	;0.312594
69	;0.999813	;0.00018608	;0.312594
70	;0.999813	;0.00018608	;0.312594
71	;0.999813	;0.00018608	;0.312594
72	;0.999813	;0.00018608	;0.312594
73	;0.999813	;0.00018608	;0.312594
74	;0.999813	;0.00018608	;0.312594
75	;0.999813	;0.00018608	;0.312594
76	;0.999813	;0.00018608	;0.312594
77	;0.999813	;0.00018608	;0.312594
78	;0.999813	;0.00018608	;0.312594
79	;0.999813	;0.00018608	;0.312594
80	;0.999813	;0.00018608	;0.312594
81	;0.999813	;0.00018608	;0.312594
82	;0.999813	;0.00018608	;0.312594
83	;0.999813	;0.00018608	;0.312594
84	;0.999813	;0.00018608	;0.312594
85	;0.999813	;0.00018608	;0.312594
86	;0.999985	;-3.04202e-06	;0.312517
87	;0.999985	;-3.04202e-06	;0.312517
88	;0.999985	;-3.04202e-06	;0.312517
89	;0.999985	;-3.04202e-06	;0.312517
90	;0.999985	;-3.04202e-06	;0.312517
91	;0.999985	;-3.04202e-06	;0.312517
92	;0.999985	;-3.04202e-06	;0.312517
93	;0.999985	;-3.04202e-06	;0.312517
94	;0.999985	;-3.04202e-06	;0.312517
95	;0.999985	;-3.04202e-06	;0.312517
96	;0.999985	;-3.04202e-06	;0.312517
